category,error_code_number,error_code_name,message,cause,recommendation,resolution
SFTP,,SftpInvalidHostKeyFingerprint,"""Disable chunking"" is not compatible with ""ZipDeflate"" decompression.",Disable chunking isn't compatible with ZipDeflate decompression.,Load the binary data to a staging area (for example: Azure Blob Storage) and decompress them in another copy activity. HTTP,
HTTP,,HttpFileFailedToRead,Failed to read data from http server. Check the error from http server：%message;,"This error occurs when a data factory or a Synapse pipeline talks to the HTTP server, but the HTTP request operation fails.","Check the HTTP status code in the error message, and fix the remote server issue.",
HTTP,,HttpSourceUnsupportedStatusCode,Http source doesn't support HTTP Status Code '%code;'.,This error happens when Azure Data Factory requests HTTP source but gets unexpected status code.,"For more information about HTTP status code, see this document. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the Google Ads connector in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the Google Ads connector in Azure Data Factory and Azure Synapse. Error code: DeprecatedGoogleAdsLegacyDriverVersion",
HTTP,,HttpSourceUnsupportedStatusCode,"The Google Ads connector’s legacy driver has been deprecated. To ensure your pipeline works, please upgrade the driver version of Google Ads linked service. Detailed instructions can be found in this documentation: https://learn.microsoft.com/azure/data-factory/connector-google-adwords? tabs=data-factory#upgrade-the-google-ads-driver-version",Your pipeline is still running on a legacy Google Ads connector's driver.,,Upgrade your Google Ads linked service's driver version to the Recommended version. Refer to this article. Error code: DeprecatedGoogleAdWordsOdbcConnector
HTTP,,HttpSourceUnsupportedStatusCode,"The Google AdWords connector has been deprecated. To ensure your pipeline works, please create a new Google Ads linked service. Detailed instructions can be found in this documentation: https://learn.microsoft.com/azure/data-factory/connector-google- adwords#upgrade-google-adwords-connector-to-google-ads-connector","Your pipeline is still running on a deprecated Google AdWords connector. The ODBC connector needs its own driver, which may cause the performance difference due to the third-party driver quality. You use the Kerberos authentication that is not supported in Azure Data Factory.","Use the Hive connector firstly. Unexpected response received from the server when connecting to the Hive server via ODBC Symptoms: When connecting to the Hive server using ODBC linked service, you meet this error message: ERROR [HY000] [Cloudera][DriverSupport] (1110) Unexpected response received from server. Please ensure the server host and port specified for the connection are correct and confirm if SSL should be enabled for the connection. Try the following steps. If they do not work, check the provided driver to resolve this issue. 1. The krb5.ini file is in the C:\Program Files\MIT\Kerberos\bin folder. 2. Add the KRB5_CONFIG and KRB5CCNAME to the system variable as well. 3. Edit the krb5.ini file. 4. Shut down and restart the VM and the SHIR from the machine.","Create a new Google Ads linked service. Refer to this article. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the Hive connector in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the Hive connector in Azure Data Factory and Azure Synapse. The performance difference between the ODBC connector and the Hive connector Symptoms: The concern about the performance difference between the ODBC connector and the Hive connector."
Lakehouse,,LakehouseForbiddenError,"ErrorCode=LakehouseForbiddenError,'Type=Microsoft.DataTransfer.Common.Shared.HybridD eliveryException,Message=Lakehouse failed for forbidden which may be caused by user account or service principal doesn't have enough permission to access Lakehouse. Workspace: '4137113f-8f02-4c59-9a33-ec9d6f0f1468'. Path: '606c4b64-92ad-4621-b116- a9a871ac099d/Tables/dbo'. ErrorCode: 'Forbidden'. Message: 'Forbidden'. TimeStamp: 'Tue, 04 Nov 2025 11:57:11 GMT'.","The service principal, system-assigned managed identity or user-assigned managed identity doesn't have sufficient permission to access Microsoft Fabric Lakehouse.","Grant the service principal, system-assigned managed identity or user- assigned managed identity at least Contributor role in the Microsoft Fabric workspace with the Lakehouse. For more information, see Grant permissions in Microsoft Fabric workspace. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Last updated on 12/23/2025 Troubleshoot the Microsoft Fabric Warehouse connector in Azure Data Factory and Azure Synapse  Tip analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the Microsoft Fabric Warehouse connector in Azure Data Factory and Azure Synapse. A transport-level error has occurred when receiving results from the server",
Lakehouse,,LakehouseForbiddenError,"A transport-level error has occurred when receiving results from the server. (provider: TCP Provider, error: 0 - An existing connection was forcibly closed by the remote host.) An existing connection was forcibly closed by the remote host","The server terminates the connection unexpectedly, usually due to network instability, timeout, or server-side resource limits.",Check server logs and network stability. Split the copy into partitions instead of a long‑running copy.,
Lakehouse,,DWCopyCommandOperationFailed,"ErrorCode=DWCopyCommandOperationFailed,'Type=Microsoft.DataTransfer.Common.Shared.Hy bridDeliveryException,Message='DataWarehouse' Copy Command operation failed with error 'A transport-level error has occurred when receiving results from the server. (provider: TCP Provider, error: 0 - A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond.)'.","The server terminates the connection unexpectedly, usually due to network instability, timeout, or server-side resource limits.",Check server logs and network stability. Split the copy into partitions instead of a long‑running copy. SHUTDOWN is in progress,
Lakehouse,,DWCopyCommandOperationFailed,SHUTDOWN is in progress.,The server is unavailable due to a SHUTDOWN operation is in progress.,"Check the server logs to confirm whether a shutdown has been initiated and ensure the server is fully available. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Last updated on 12/23/2025 Troubleshoot the MongoDB connector in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the MongoDB connector in Azure Data Factory and Azure Synapse.",
MongoDB,,MongoDbUnsupportedUuidType,"Failed to read data via MongoDB client., Source=Microsoft.DataTransfer.Runtime.MongoDbV2Connector,Type=System.FormatExc eption, Message=The GuidRepresentation for the reader is CSharpLegacy which requires the binary sub type to be UuidLegacy not UuidStandard.,Source=MongoDB.Bson,’“,","When you copy data from Azure Cosmos DB MongoAPI or MongoDB with the universally unique identifier (UUID) field, there are two ways to represent the UUID in Binary JSON (BSON): UuidStardard and UuidLegacy. By default, UuidLegacy is used to read data. You will receive an error if your UUID data in MongoDB is UuidStandard.",,"In the MongoDB connection string, add the uuidRepresentation=standard option. For more information, see MongoDB connection string. Migrate to the new version of MongoDB connector Symptoms: You meet the following error code and error message:"
MongoDB,,DeprecatedMongoDbOdbcConnector,"The legacy MongoDB connector has been deprecated. To ensure your pipeline works, please create a new MongoDB linked service. Detailed instructions can be found in this documentation: https://learn.microsoft.com/azure/data-factory/connector-mongodb#upgrade- the-mongodb-linked-service",Your pipeline is still running on a legacy MongoDB connector that causes the error.,,"Upgrade your MongoDB linked service to the latest version. Refer to this article. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the Oracle connector in Azure Data Factory and Azure Synapse 06/13/2025  Tip analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the Oracle connector in Azure Data Factory and Azure Synapse. Version 2.0"
MongoDB,,DeprecatedMongoDbOdbcConnector,ORA-12650: No common encryption or data integrity algorithm Symptoms: You meet the following error message: ORA-12650: No common encryption or data integrity algorithm,"The client and server failed to agree on a common encryption/data integrity behavior or algorithm during negotiation. The default client-side configurations are as follows: encryptionClient : required encryptionTypesClient : (AES256) cryptoChecksumClient : required cryptoChecksumTypesClient : (SHA512) To avoid data loss, the decimal precision used to represent the Oracle NUMBER type is 256, which exceeds the max precision supported by the sink connector or downstream consumer.","1. Check the server-side configurations, including SQLNET.ENCRYPTION_SERVER and SQLNET.CRYPTO_CHECKSUM_SERVER. Update the linked service additional properties encryptionClient and cryptoChecksumClient on the client side if needed. Note that the actual behavior is determined by the negotiation outcome between the client and server configuration, as shown below. Client\Server rejected accepted requested required rejected OFF OFF OFF Connection fails accepted OFF OFF ON ON requested OFF ON ON ON required Connection fails ON ON ON 2. Check the server-side configurations, including SQLNET.ENCRYPTION_TYPES_SERVER and SQLNET.CRYPTO_CHECKSUM_TYPES_SERVER. Update the linked service additional properties encryptionTypesClient and cryptoChecksumTypesClient on the client side to ensure that a common algorithm can be found between them.",
MongoDB,,DeprecatedMongoDbOdbcConnector,ORA-00933: SQL command not properly ended Symptoms: You meet the following error message: ORA-00933: SQL command not properly ended,Currently Oracle version 2.0 doesn’t support the query ended with a semicolon.,Remove the semicolon at the end of the query. Version 1.0,
MongoDB,,ArgumentOutOfRangeException,"Hour, Minute, and Second parameters describe an un-representable DateTime.","In Azure Data Factory and Synapse pipelines, DateTime values are supported in the range from 0001-01-01 00:00:00 to 9999-12-31 23:59:59. However, Oracle supports a wider range of DateTime values, such as the BC century or min/sec>59, which leads to failure. The secure algorithm is not added to your Oracle server.","To see whether the value in Oracle is in the supported range of dates, run select dump(<column name>) . To learn the byte sequence in the result, see How are dates stored in Oracle? . Add secure algorithms when using the self-hosted integration runtime version 5.36.8726.3 or higher Symptoms: When you use the self-hosted integration runtime version 5.36.8726.3 or higher, you meet this error message: [Oracle]ORA-12650: No common encryption or data integrity algorithm . Update your Oracle server settings to add these secure algorithms if they are not already included: For SQLNET.ENCRYPTION_TYPES_SERVER, need to add the following algorithms that are deemed as secure by OpenSSL and will be used for OAS (Oracle Advanced Security) encryption. AES256 AES192 3DES168 AES128 3DES112 DES For SQLNET.CRYPTO_CHECKSUM_TYPES_SERVER, need to add the following algorithms that are deemed as secure by OpenSSL and will be used for OAS (Oracle Advanced Security) data integrity.",
MongoDB,,UserErrorFailedToConnectOdbcSource,"""Cannot load trust store"", or ""SSL Handshake Failure reason [error:OA000086:SSL routines::certificate verify failed]""","The truststore is not appropriate for OpenSSL 3.0, as the truststore file is generated using weak ciphers like RC4, MD5 and SHA1.",You need to re-create the truststore using the strong ciphers like AES256. Refer to this section for details about setting up the TLS connection using truststore .,
MongoDB,,UserErrorFailedToConnectOdbcSource,SSL Handshake Failure reason[Unknown SSL Error] SSL Handshake Failure reason [error:OA000410:SSL routines::sslv3 alert handshake failure],"The server is not configured with strong ciphers for SSL communication. OpenSSL 3.0 should use either TLS 1.0 and higher as it deprecated SSL protocol versions. For example, the server might accept connections with TLS protocol versions until TLS 1.0.",Revise the server configuration to use stronger TLS versions.,
MongoDB,,UserErrorFailedToConnectOdbcSource,SSL Handshake Failure reason [error:0A00014D:SSL routines::legacy sigalg disallowed or unsupported].,CryptoProtocolVersion is set to use deprecated TLS protocol versions with OpenSSL 3.0.,"Specify the connection string property CryptoProtocolVersion=TLSv1.2 . For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the ORC format connector in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the ORC format connector in Azure Data Factory and Azure Synapse.",
Azure Synapse Analytics,,OrcJavaInvocationException,"An error occurred when invoking Java, message: %javaException;.","Different causes may lead to this error. Check below list for possible cause analysis and related recommendation. When the error message contains the strings ""java.lang.OutOfMemory"", ""Java If you're using heap space"", and ""doubleCapacity"", it's usually a memory management issue in Self-hosted an old version of integration runtime. Integration Runtime, we recommend that you upgrade to the latest version. When the error message contains the string ""java.lang.OutOfMemory"", the Limit the integration runtime doesn't have enough resources to process the files. concurrent runs on the integration runtime. For Self- hosted IR, scale up to a powerful machine with memory equal to or larger than 8 GB. When the error message contains the string ""NullPointerReference"", the cause Retry the might be a transient error. operation. If the problem persists, contact support. When the error message contains the string ""BufferOverflowException"", the Retry the cause might be a transient error. operation.",,
Azure Synapse Analytics,,OrcDateTimeExceedLimit,The Ticks value '%ticks;' for the datetime column must be between valid datetime ticks range -621355968000000000 and 2534022144000000000.,"If the datetime value is '0001-01-01 00:00:00', it could be caused by the differences between the Julian calendar and the Gregorian calendar .","Check the ticks value and avoid using the datetime value '0001- 01-01 00:00:00'. Next steps For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the Parquet format connector in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the Parquet format connector in Azure Data Factory and Azure Synapse.",
Parquet,,ParquetJavaInvocationException,"An error occurred when invoking java, message: %javaException;.","Different causes may lead to this error. Check below list for possible cause analysis and related recommendation. When the error message contains the strings If you are using Self-hosted IR and the ""java.lang.OutOfMemory"", ""Java heap space"", and version is earlier than 3.20.7159.1, we ""doubleCapacity"", it's usually a memory recommend that you upgrade to the management issue in an old version of Integration latest version. Runtime. When the error message contains the string Limit the concurrent runs on the ""java.lang.OutOfMemory"", the integration runtime integration runtime. For Self-hosted doesn't have enough resources to process the IR, scale up to a powerful machine files. with memory that's equal to or greater than 8 GB. When the error message contains the string Retry the operation. If the problem ""NullPointerReference"", it might be a transient persists, contact support. error.",,
Parquet,,ParquetInvalidFile,File is not a valid Parquet file.,This is a Parquet file issue.,Check to see whether the input is a valid Parquet file.,
Parquet,,ParquetNotSupportedType,Unsupported Parquet type. PrimitiveType: %primitiveType; OriginalType: %originalType;.,The Parquet format is not supported in Azure Data Factory and Synapse pipelines.,Double-check the source data by going to Supported file formats and compression codecs by copy activity. Error code: ParquetMissedDecimalPrecisionScale,
Parquet,,ParquetNotSupportedType,Decimal Precision or Scale information is not found in schema for column: %column;.,"The number precision and scale were parsed, but no such information was provided.",The source doesn't return the correct precision and scale information. Check the issue column for the information. Error code: ParquetInvalidDecimalPrecisionScale,
Parquet,,ParquetNotSupportedType,Invalid Decimal Precision or Scale. Precision: %precision; Scale: %scale;.,The schema is invalid.,Check the issue column for precision and scale.,
Parquet,,ParquetColumnNotFound,Column %column; does not exist in Parquet file.,The source schema is a mismatch with the sink schema.,Check the mappings in the activity. Make sure that the source column can be mapped to the correct sink column.,
Parquet,,ParquetInvalidDataFormat,Incorrect format of %srcValue; for converting to %dstType;.,The data can't be converted into the type that's specified in mappings.source.,"Double-check the source data or specify the correct data type for this column in the copy activity column mapping. For more information, see Supported file formats and compression codecs by the copy activity. Error code: ParquetDataCountNotMatchColumnCount",
Parquet,,ParquetInvalidDataFormat,The data count in a row '%sourceColumnCount;' does not match the column count '%sinkColumnCount;' in given schema.,A mismatch between the source column count and the sink column count.,Double-check to ensure that the source column count is same as the sink column count in 'mapping'. Error code: ParquetDataTypeNotMatchColumnType,
Parquet,,ParquetInvalidDataFormat,The data type %srcType; is not match given column type %dstType; at column '%columnIndex;'.,The data from the source can't be converted to the type that's defined in the sink.,Specify a correct type in mapping.sink.,
Parquet,,ParquetBridgeInvalidData,%message;,The data value has exceeded the limit.,"Retry the operation. If the issue persists, contact us.",
Parquet,,ParquetUnsupportedInterpretation,The given interpretation '%interpretation;' of Parquet format is not supported.,This scenario isn't supported.,'ParquetInterpretFor' should not be 'sparkSql'. Error code: ParquetUnsupportFileLevelCompressionOption,
Parquet,,ParquetUnsupportedInterpretation,File level compression is not supported for Parquet.,This scenario isn't supported.,Remove 'CompressionType' in the payload.,
Parquet,,UserErrorJniException,Cannot create JVM: JNI return code [-6][JNI call failed: Invalid arguments.],"A Java Virtual Machine (JVM) can't be created because some illegal (global) arguments are set. Currently only the decimal of precision <= 38 and length of integer part <= 20 are supported when you copy files from Oracle to Parquet. The issue could be caused by white spaces or unsupported special characters (such as,;{}()\n\t=) in the column name, because Parquet doesn't support such a format. For example, a column name such as contoso(test) will parse the type in brackets from code Tokenizer st = new Tokenizer(schemaString, "" ;{}()\n\t""); . The error is thrown because there is no such ""test"" type. To check supported types, go to the GitHub apache/parquet-mr site .","Log in to the machine that hosts each node of your self-hosted IR. Check to ensure that the system variable is set correctly, as follows: _JAVA_OPTIONS ""-Xms256m -Xmx16g"" with memory bigger than 8 G . Restart all the IR nodes, and then rerun the pipeline. Arithmetic overflow Symptoms: Error message occurred when you copy Parquet files: Message = Arithmetic Overflow., Source = Microsoft.DataTransfer.Common","As a workaround, you can convert any columns with this problem into VARCHAR2. No enum constant Symptoms: Error message occurred when you copy data to Parquet format: java.lang.IllegalArgumentException:field ended by &apos;;&apos; , or: java.lang.IllegalArgumentException:No enum constant org.apache.parquet.schema.OriginalType.test . Double-check to see whether: There are white spaces in the sink column name. The first row with white spaces is used as the column name. The type OriginalType is supported. Try to avoid using these special characters: ,;{}()\n\t= ."
Parquet,,ParquetDateTimeExceedLimit,The Ticks value '%ticks;' for the datetime column must be between valid datetime ticks range -621355968000000000 and 2534022144000000000.,"If the datetime value is '0001-01-01 00:00:00', it could be caused by the difference between Julian Calendar and Gregorian Calendar. For more details, reference Difference between Julian and proleptic Gregorian calendar dates .",,Check the ticks value and avoid using the datetime value '0001-01-01 00:00:00'.
Parquet,,ParquetInvalidColumnName,"The column name is invalid. Column name cannot contain these character:[,;{}()\n\t=]",The column name contains invalid characters. This issue is caused by the Parquet-mr library bug of reading large column.,,"Add or modify the column mapping to make the sink column name valid. The file created by the copy data activity extracts a table that contains a varbinary (max) column Symptoms: The Parquet file created by the copy data activity extracts a table that contains a varbinary (max) column. Try to generate smaller files (size < 1G) with a limitation of 1000 rows per file. Next steps For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the REST connector in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the REST connector in Azure Data Factory and Azure Synapse."
REST,,RestSinkCallFailed,Rest Endpoint responded with Failure from server. Check the error from server:%message;,"This error occurs when a data factory or Synapse pipeline talks to the REST endpoint over HTTP protocol, and the request operation fails.",Check the HTTP status code or the message in the error message and fix the remote server issue.,
REST,,RestSourceCallFailed,The HttpStatusCode %statusCode; indicates failure.&#xA;Request URL: %requestUri;&#xA;Response payload:%payload;,"This error occurs when Azure Data Factory talks to the REST endpoint over HTTP protocol, and the request operation fails.",Check the HTTP status code or the request URL or the response payload in the error message and fix the remote server issue. Error code: RestSinkUNSupportedCompressionType,
REST,,RestSourceCallFailed,User Configured CompressionType is Not Supported By Azure Data Factory：%message;,The REST source connector uses the URL and HTTP method/header/body from the linked service/dataset/copy source as parameters when it constructs an HTTP request. The issue is most likely caused by some mistakes in one or more specified parameters.,"Check the supported compression types for the REST sink. Unexpected network response from the REST connector Symptoms: The endpoint sometimes receives an unexpected response (400, 401, 403, 500) from the REST connector.","Use 'curl' in a Command Prompt window to see whether the parameter is the cause (Accept and User-Agent headers should always be included): curl -i -X <HTTP method> -H <HTTP header1> -H <HTTP header2> -H ""Accept: application/json"" -H ""User-Agent: azure-data-factory/2.0"" -d '<HTTP body>' <URL> If the command returns the same unexpected response, fix the preceding parameters with 'curl' until it returns the expected response. You can also use 'curl--help' for more advanced usage of the command. If only the REST connector returns an unexpected response, contact Microsoft support for further troubleshooting. Note that 'curl' might not be suitable to reproduce an SSL certificate validation issue. In some scenarios, the 'curl' command was executed successfully without encountering any SSL certificate validation issues. But when the same URL is executed in a browser, no SSL certificate is actually returned for the client to establish trust with server."
REST,,RestSourceCallFailed,"""Failed to create certificate from certificate raw data and password. Cannot find the requested object.""",Only support the base64 string service principal certificate for Rest connector service principal certificate authentication. You encounter this error code as you don't complete the Salesforce Connected App configuration.,"Follow this section to save the service principal certificate in Azure Key Vault correctly. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the Salesforce and Salesforce Service Cloud connectors in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the Salesforce and Salesforce Service Cloud connectors in Azure Data Factory and Azure Synapse. Error code: SalesforceOauth2ClientCredentialFailure To configure your Salesforce Connected App, follow these steps: 1. Create your connected app, and complete its basic information and OAuth settings for the connected app. a. Configure the Connected App Name, API Name and Contact Email. b. Select Enable OAuth Settings. c.",
SAP,,SapRfcDestinationAddFailed,Get or create destination '%destination; failed.,"Unable to connect to SAP server, which may be caused by the connection issue between the machine with an integration runtime installed and SAP server, or wrong credentials.","If the error messages are like '<serverName>:3300' not reached , test connection in the machine with an integration runtime installed first by following the PowerShell command below: PowerShell Test-NetConnection <sap server> -port 3300 For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the ServiceNow connector in Azure Data Factory and Azure Synapse  Tip analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the ServiceNow connector in Azure Data Factory and Azure Synapse.",
Azure Synapse Analytics,,DEDICATED_DPERORCODE0,,Object reference not set to an instance of an object.,"You are recommended to have a role with at least read access to sys_glide_object tables in ServiceNow. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the SharePoint Online list connector in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the SharePoint Online list connector in Azure Data Factory and Azure Synapse.",
SharePoint,,SharePointOnlineAuthFailed,"The access token generated failed, status code: %code;, error",,,
SharePoint,,SharePointOnlineAuthFailed,%message;.,The service principal ID and key might not be set correctly.,"Check your registered application (service principal ID) and key to see whether they're set correctly. Connection failed after granting permission in SharePoint Online List Symptoms You granted permission to your data factory in SharePoint Online List, but you still fail with the following error message: Failed to get metadata of odata service, please check if service url and credential is correct and your application has permission to the resource. Expected status code: 200, actual status code: Unauthorized, response is : {""error"":""invalid_request"",""error_description"":""Token type is not allowed.""}. Cause The SharePoint Online List uses ACS to acquire the access token to grant access to other applications. But for the tenant built after November 7, 2018, ACS is disabled by default. Recommendation You need to enable ACS to acquire the access token. Take the following steps: 1. Download SharePoint Online Management Shell , and ensure that you have a tenant admin account. 2.",
Snowflake,,NotAllowToAccessSnowflake,,It's a connectivity issue and usually caused by firewall IP issues when integration runtimes access your Snowflake.,"If you configure a self-hosted integration runtime to connect to Snowflake, make sure to add your self-hosted integration runtime IPs to the allowed list in Snowflake. If you use an Azure Integration Runtime and the access is restricted to IPs approved in the firewall rules, you can add Azure Integration Runtime IPs to the allowed list in Snowflake. If you use a managed private endpoint and a network policy is in place on your Snowflake account, ensure Managed VNet CIDR is allowed. For more steps, refer to How To: Set up a managed private endpoint from Azure Data Factory or Synapse to Snowflake .",
Snowflake,,SnowflakeFailToAccess,Could not resolve Data Source=xxx.xxx.xxx to an available node after 1 attempts. Symptoms: Copy activity fails with the following error:,The error pops up by the Snowflake COPY command and is caused by missing access permission on source/sink when execute Snowflake COPY commands.,"Check your source/sink to make sure that you have granted proper access permission to Snowflake. Direct copy: Make sure to grant access permission to Snowflake in the other source/sink. Currently, only Azure Blob Storage that uses shared access signature authentication is supported as source or sink. When you generate the shared access signature, make sure to set the allowed permissions and IP addresses to Snowflake in the Azure Blob Storage. For more information, see this article . Staged copy: The staging Azure Blob Storage linked service must use shared access signature authentication. When you generate the shared access signature, make sure to set the allowed permissions and IP addresses to Snowflake in the staging Azure Blob Storage. For more information, see this article .",
Snowflake,,SnowflakeFailToAccess,"[.NET Data Provider for Teradata] [115025] Could not resolve Data Source=xxx.xxx.xxx to an available node after 1 attempts. [Socket Transport] [10060] System.Net.Sockets.SocketException (0x80004005): A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond xx.xx.xx.xx.","A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond xx.xx.xx.xx.",,You are recommended to use a different SSL mode.
Snowflake,,SnowflakeFailToAccess,Remote certificate error. Symptoms: Copy activity fails with the following error:,,,
Snowflake,,SnowflakeFailToAccess,[.NET Data Provider for Teradata] [115056] Remote certificate error. Details: SslPolicyErrors: RemoteCertificateNameMismatch.,The Subject Alternative Name (SAN) extension of the remote TLS certificate does not contain the hostname or the IP address which was used to establish the connection.,,"You are recommended to use a different SSL mode. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot the XML format connector in Azure Data Factory and Azure Synapse  Tip enterprises. Microsoft Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! This article provides suggestions to troubleshoot common problems with the XML format connector in Azure Data Factory and Azure Synapse."
XML,,XmlSinkNotSupported,"Write data in XML format is not supported yet, choose a different format!",An XML dataset was used as a sink dataset in your copy activity.,Use a dataset in a different format from that of the sink dataset.,
XML,,XmlAttributeColumnNameConflict,"Column names %attrNames;' for attributes of element '%element;' conflict with that for corresponding child elements, and the attribute prefix used is '%prefix;'.","An attribute prefix was used, which caused the conflict.","Set a different value for the ""attributePrefix"" property.",
XML,,XmlValueColumnNameConflict,Column name for the value of element '%element;' is '%columnName;' and it conflicts with the child element having the same name.,One of the child element names was used as the column name for the element value.,"Set a different value for the ""valueColumn"" property.",
XML,,XmlInvalid,Input XML file '%file;' is invalid with parsing error '%error;'.,The input XML file is not well formed.,"Correct the XML file to make it well formed. For more troubleshooting help, try these resources: Connector troubleshooting guide Data Factory feature requests Troubleshoot pipeline orchestration and triggers in Azure Data Factory  Tip Fabric covers everything from data movement to data science, real-time analytics, business intelligence, and reporting. Learn how to start a new trial for free! A pipeline run in Azure Data Factory defines an instance of a pipeline execution. For example, let's say you have a pipeline that runs at 8:00 AM, 9:00 AM, and 10:00 AM. In this case, there are three separate pipeline runs. Each pipeline run has a unique pipeline run ID. A run ID is a globally unique identifier (GUID) that defines that particular pipeline run. Pipeline runs are typically instantiated by passing arguments to parameters that you define in the pipeline. You can run a pipeline either manually or by using a trigger.",
XML,,XmlInvalid,"Type=Microsoft.DataTransfer.Execution.Core.ExecutionException,Message=There are substantial concurrent MappingDataflow executions which is causing failures due to throttling under Integration Runtime 'AutoResolveIntegrationRuntime'. Cause You've reached the integration runtime's capacity limit. You might be running a large amount of data flow by using the same integration runtime at the same time. See Azure subscription and service limits, quotas, and constraints for details. Resolution Run your pipelines at different trigger times. Create a new integration runtime, and split your pipelines across multiple integration runtimes. A pipeline run error while invoking REST API in a Web activity Issue",,,
XML,,XmlInvalid,"Operation on target Cancel failed: {“error”:{“code”:”AuthorizationFailed”,”message”:”The client ‘<client>’ with object id ‘<object>’ does not have authorization to perform action ‘Microsoft.DataFactory/factories/pipelineruns/cancel/action’ over scope ‘/subscriptions/<subscription>/resourceGroups/<resource group>/providers/Microsoft.DataFactory/factories/<data factory name>/pipelineruns/<pipeline run id>’ or the scope is invalid. If access was recently granted, please refresh your credentials.”}} Cause Pipelines can use the Web activity to call ADF REST API methods if and only if the Azure Data Factory member is assigned the Contributor role. You must first configure and add the Azure Data Factory managed identity to the Contributor security role. Resolution Before you use the Azure Data Factory’s REST API in a Web activity’s Settings tab, security must be configured.",,,
Common,,DF-AdobeIntegration-InvalidMapToFilter,Custom resource can only have one Key/Id mapped to filter.,Invalid configurations are provided.,"In your AdobeIntegration settings, make sure that the custom resource can only have one Key/Id mapped to filter.",
Common,,DF-AdobeIntegration-InvalidPartitionConfiguration,Only single partition is supported. Partition schema may be RoundRobin or Hash.,Invalid partition configurations are provided.,"In AdobeIntegration settings, confirm that only the single partition is set and partition schemas may be RoundRobin or Hash.",
Common,,DF-AdobeIntegration-InvalidPartitionType,Partition type has to be roundRobin.,Invalid partition types are provided.,Update AdobeIntegration settings to make your partition type is RoundRobin.,
Common,,DF-AdobeIntegration-InvalidPrivacyRegulation,Only currently supported privacy regulation is 'GDPR'.,Invalid privacy configurations are provided.,Update AdobeIntegration settings while only privacy 'GDPR' is supported.,
Common,,DF-AdobeIntegration-KeyColumnMissed,Key must be specified for non-insertable operations.,Key columns are missed.,Update AdobeIntegration settings to ensure key columns are specified for non-insertable operations.,
